no,word,created_at,updated_at,use,example,part_of_speech,pronunciation,mean
5705,12,2024-01-04 19:05:00,,Y,,,,
5708,15,2024-01-04 19:05:00,,Y,,,,
5709,16,2024-01-04 19:05:00,,Y,,,,
5710,17,2024-01-04 19:05:00,,Y,,,,
5711,18,2024-01-04 19:05:00,,Y,,,,
5712,19,2024-01-04 19:05:00,,Y,,,,
5713,20,2024-01-04 19:05:00,,Y,,,,
5714,21,2024-01-04 19:05:00,,Y,,,,
5715,22,2024-01-04 19:05:00,,Y,,,,
5716,23,2024-01-04 19:05:00,,Y,,,,
5717,24,2024-01-04 19:05:00,,Y,,,,
5718,25,2024-01-04 19:05:00,,Y,,,,
5719,26,2024-01-04 19:05:00,,Y,,,,
5720,27,2024-01-04 19:05:00,,Y,,,,
5721,28,2024-01-04 19:05:00,,Y,,,,
5722,29,2024-01-04 19:05:00,,Y,,,,
5723,30,2024-01-04 19:05:00,,Y,,,,
5724,31,2024-01-04 19:05:00,,Y,,,,
5706,13,2024-01-04 19:05:00,,Y,,,,
5707,14,2024-01-04 19:05:00,,Y,,,,
5725,1시,2024-01-04 19:05:00,,Y,,,,
5726,2시,2024-01-04 19:05:00,,Y,,,,
5727,3시,2024-01-04 19:05:00,,Y,,,,
5728,4시,2024-01-04 19:05:00,,Y,,,,
5729,5시,2024-01-04 19:05:00,,Y,,,,
5730,6시,2024-01-04 19:05:00,,Y,,,,
5731,7시,2024-01-04 19:05:00,,Y,,,,
5732,8시,2024-01-04 19:05:00,,Y,,,,
5733,9시,2024-01-04 19:05:00,,Y,,,,
5734,10시,2024-01-04 19:05:00,,Y,,,,
5735,11시,2024-01-04 19:05:00,,Y,,,,
5736,12시,2024-01-04 19:05:00,,Y,,,,
5737,5분,2024-01-04 19:05:00,,Y,,,,
5738,10분,2024-01-04 19:05:00,,Y,,,,
5739,15분,2024-01-04 19:05:00,,Y,,,,
5740,20분,2024-01-04 19:05:00,,Y,,,,
5741,30분,2024-01-04 19:05:00,,Y,,,,
5742,어제,2024-01-04 19:05:00,,Y,"[[""어제가 내 생일이었는데 오늘에서야 기억이 났다."",""어제는 날씨가 맑았는데 오늘은 비가 내린다.""],[""나를 궁지로 몰아넣은 일로 어제의 친구가 바로 오늘의 원수가 되었다."",""정신을 차리지 않고 돈을 헤프게 쓰다 보면 어제의 부자가 한순간에 오늘의 거지가 될 수 있다.""]]",명사,[어제],"[""오늘의 하루 전날."",""지나간 때.""]"
